Type,Features Type,ID-number,Province_code,Province_name,Confirmed_cases,Recovered_cases,Death_cases,Features Geometry Type,Features Geometry Coordinates
FeatureCollection,Feature,1,11,Aceh,20,18,1,Point,"96.90952274800009,4.225081892000048"
FeatureCollection,Feature,2,12,Sumatera Utara,605,179,46,Point,"99.05788784900005,2.184779215000049"
FeatureCollection,Feature,3,13,Sumatera Barat,618,336,27,Point,"100.46680503000005,-0.85191434799998"
FeatureCollection,Feature,4,14,Riau,118,101,6,Point,"101.81289195400007,0.510525849000032"
FeatureCollection,Feature,5,15,Jambi,103,27,6,Point,"103.59932,-1.61775"
FeatureCollection,Feature,6,16,Sumatera Selatan,1104,297,42,Point,"104.17041944500005,-3.213346821999949"
FeatureCollection,Feature,7,17,Bengkulu,92,37,4,Point,"102.26312,-3.79116"
FeatureCollection,Feature,8,19,Kepulauan Bangka Belitung,98,34,1,Point,"105.98694808200008,-2.252956410999957"
FeatureCollection,Feature,9,18,Lampung,143,98,11,Point,"105.01831305100006,-4.918073086999925"
FeatureCollection,Feature,10,21,Kepulauan Riau,227,115,15,Point,"108.20222888900008,3.915947241000026"
FeatureCollection,Feature,11,31,DKI Jakarta,7870,2836,524,Point,"106.82649,-6.17148"
FeatureCollection,Feature,12,32,Jawa Barat,2376,779,158,Point,"107.60280789800004,-6.919980215999942"
FeatureCollection,Feature,13,33,Jawa Tengah,1564,409,76,Point,"110.20111252900006,-7.258970382999962"
FeatureCollection,Feature,14,34,Daerah Istimewa Yogyakarta,242,178,8,Point,"110.44536697100006,-7.89501381499997"
FeatureCollection,Feature,15,35,Jawa Timur,5835,1361,463,Point,"112.73367880100011,-7.720113018999939"
FeatureCollection,Feature,16,36,Banten,1025,365,71,Point,"106.10919706900006,-6.456181598999933"
FeatureCollection,Feature,17,51,Bali,557,371,5,Point,"115.13165099500009,-8.36974326099994"
FeatureCollection,Feature,18,52,Nusa Tenggara Barat,798,311,21,Point,"117.50686245200006,-8.606652083999961"
FeatureCollection,Feature,19,53,Nusa Tenggara Timur,97,14,1,Point,"121.14182917000005,-8.604843331999973"
FeatureCollection,Feature,20,61,Kalimantan Barat,210,114,4,Point,"111.12076240100004,-0.085901233999948"
FeatureCollection,Feature,21,62,Kalimantan Tengah,496,191,26,Point,"113.181047852,-1.634340044999931"
FeatureCollection,Feature,22,63,Kalimantan Selatan,1247,104,96,Point,"115.3113078340001,-2.44977913699995"
FeatureCollection,Feature,23,64,Kalimantan Timur,327,206,3,Point,"116.47085839300007,0.461046227000054"
FeatureCollection,Feature,24,65,Kalimantan Utara,168,107,2,Point,"116.21671830900004,2.888820961000022"
FeatureCollection,Feature,25,71,Sulawesi Utara,470,62,43,Point,"124.53537885000003,1.286097687000051"
FeatureCollection,Feature,26,72,Sulawesi Tengah,139,86,4,Point,"120.44959250000011,-1.459214953999947"
FeatureCollection,Feature,27,73,Sulawesi Selatan,1840,673,94,Point,"120.16115770400006,-3.747115711999925"
FeatureCollection,Feature,28,74,Sulawesi Tenggara,257,144,5,Point,"122.07867805600006,-4.13280397099993"
FeatureCollection,Feature,29,75,Gorontalo,126,44,6,Point,"123.06184,0.53707"
FeatureCollection,Feature,30,76,Sulawesi Barat,92,58,2,Point,"119.34347138300006,-2.461902014999964"
FeatureCollection,Feature,31,81,Maluku,261,67,8,Point,"129.360425,-3.126119342999971"
FeatureCollection,Feature,32,82,Maluku Utara,185,33,19,Point,"128.01592944200002,0.869337001000019"
FeatureCollection,Feature,33,94,Papua,1005,78,7,Point,"140.0000000000001,-5"
FeatureCollection,Feature,34,91,Papua Barat,178,74,2,Point,"132.9683417120001,-2.041723281999964"
FeatureCollection,Feature,35,91,Indonesia,21,74,2,Point,"113.915865,-0.989818181999965"
