Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_pasien_dalam_perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawatan,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_Terkini,Kasus_Sedang_Investigasi_Lapangan,Jumlah_Spesimen_Diperiksa_Terkini,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_Terkini,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID
47,2020/04/17 00:00:00+00,5923,607,520,4796,407,59,24,324,10.24818504,8.779334797,80.97248016,42108,37134,31211,2402,2159,12610,173732,,,,,,,,,,,,1970/01/01 00:00:00+00,130
135,2020/07/14 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,131
48,2020/04/18 00:00:00+00,6248,631,535,5082,325,24,15,286,10.09923175,8.562740077,81.33802817,45378,39422,33174,327,2288,12979,176344,,,,,,,,,,,,1970/01/01 00:00:00+00,132
136,2020/07/15 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,133
49,2020/04/19 00:00:00+00,6575,686,582,5307,327,55,47,225,10.43346008,8.851711027,80.7148289,47478,42219,35644,21,2797,15646,178883,,,,,,,,,,,,1970/01/01 00:00:00+00,134
137,2020/07/16 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,135
50,2020/04/20 00:00:00+00,6760,747,590,5423,185,61,8,116,11.05029586,8.727810651,80.22189349,49767,43749,36989,2289,153,16343,181770,,,,,,,,,,,,1970/01/01 00:00:00+00,136
138,2020/07/17 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,137
139,2020/07/18 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,138
140,2020/07/19 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,139
141,2020/07/20 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,140
142,2020/07/21 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,141
143,2020/07/22 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,142
144,2020/07/23 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,143
145,2020/07/24 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,144
146,2020/07/25 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,145
147,2020/07/26 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,146
148,2020/07/27 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,147
149,2020/07/28 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,148
150,2020/07/29 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,149
151,2020/07/30 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,150
152,2020/07/31 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,151
51,2020/04/21 00:00:00+00,7135,842,616,5677,375,95,26,254,11.80098108,8.633496847,79.56552207,50370,46173,39038,603,2424,16763,186330,,,,,,,,,,,,1970/01/01 00:00:00+00,152
