Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_pasien_dalam_perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawatan,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_Terkini,Kasus_Sedang_Investigasi_Lapangan,Jumlah_Spesimen_Diperiksa_Terkini,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_Terkini,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID
16,2020/03/17 00:00:00+00,172,9,5,158,38,1,0,37,5.23255814,2.906976744,91.86046512,,1372,1178,,120,,,,,,,,,,,,,,1970/01/01 00:00:00+00,29
116,2020/06/25 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,30
117,2020/06/26 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,31
17,2020/03/18 00:00:00+00,227,11,19,197,55,2,14,39,4.845814978,8.370044053,86.78414097,,1592,1342,,197,,,,,,,,,,,,,,1970/01/01 00:00:00+00,32
18,2020/03/19 00:00:00+00,309,15,25,269,82,4,6,72,4.854368932,8.090614887,87.05501618,,1898,1570,,287,,,,,,,,,,,,,,1970/01/01 00:00:00+00,33
118,2020/06/27 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,34
19,2020/03/20 00:00:00+00,369,17,32,320,60,2,7,51,4.60704607,8.672086721,86.72086721,,2028,1643,,112,,,,,,,,,,,,,,1970/01/01 00:00:00+00,35
20,2020/03/21 00:00:00+00,450,20,38,392,81,3,6,72,4.444444444,8.444444444,87.11111111,,2365,1895,,317,,,,,,,,,,,,,,1970/01/01 00:00:00+00,36
119,2020/06/28 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,37
21,2020/03/22 00:00:00+00,514,29,48,437,64,9,10,45,5.642023346,9.338521401,85.01945525,,2438,1904,,53,,,,,,,,,,,,,,1970/01/01 00:00:00+00,38
120,2020/06/29 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,39
121,2020/06/30 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,40
22,2020/03/23 00:00:00+00,579,30,49,500,65,1,1,63,5.18134715,8.462867012,86.35578584,,2756,2177,,318,,,,,,,,,,,,,,1970/01/01 00:00:00+00,41
23,2020/03/24 00:00:00+00,686,30,55,601,106,0,6,101,4.373177843,8.017492711,87.60932945,,3332,2625,,554,,,,,,,,,,,,,,1970/01/01 00:00:00+00,42
122,2020/07/01 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,43
123,2020/07/02 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,44
24,2020/03/25 00:00:00+00,790,31,58,701,105,1,3,100,3.924050633,7.341772152,88.73417722,,3822,3032,,490,,,,,,,,,,,,,,1970/01/01 00:00:00+00,45
25,2020/03/26 00:00:00+00,893,35,78,780,103,4,20,79,3.9193729,8.734602464,87.34602464,,4336,3443,,514,,,,,,,,,,,,,,1970/01/01 00:00:00+00,46
124,2020/07/03 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,47
52,2020/04/22 00:00:00+00,7418,913,635,5870,283,71,19,193,12.3078997,8.56025883,79.13184147,55732,47361,39943,5362,1188,17754,193571,,,,,,,,,,,,1970/01/01 00:00:00+00,48
125,2020/07/04 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,49
26,2020/03/27 00:00:00+00,1046,46,87,913,153,11,9,133,4.397705545,8.317399618,87.28489484,,5775,4729,,1439,,,,,,,,,,,,,,1970/01/01 00:00:00+00,50
53,2020/04/23 00:00:00+00,7775,960,647,6168,357,47,12,298,12.34726688,8.321543408,79.33118971,59935,48647,40872,4203,1286,18283,195948,,,,,,,,,,,,1970/01/01 00:00:00+00,51
27,2020/03/28 00:00:00+00,1155,59,102,994,109,13,15,81,5.108225108,8.831168831,86.06060606,,6266,5111,,491,,,,,,,,,,,,,,1970/01/01 00:00:00+00,52
54,2020/04/24 00:00:00+00,8211,1002,689,6520,436,42,42,352,12.20314213,8.39118256,79.40567531,64054,50563,42352,4119,1916,18301,197951,,,,,,,,,,,,1970/01/01 00:00:00+00,53
28,2020/03/29 00:00:00+00,1285,64,114,1107,130,5,12,113,4.980544747,8.871595331,86.14785992,,6534,5249,,268,,,,,,,,,,,,,,1970/01/01 00:00:00+00,54
55,2020/04/25 00:00:00+00,8607,1042,720,6845,396,40,31,325,12.106425,8.365284071,79.52829093,67828,52541,43934,3774,1978,19084,206911,,,,,,,,,,,,1970/01/01 00:00:00+00,55
29,2020/03/30 00:00:00+00,1414,75,122,1217,129,11,8,110,5.304101839,8.628005658,86.0678925,,6663,5249,,129,,,,,,,,,,,,,,1970/01/01 00:00:00+00,56
56,2020/04/26 00:00:00+00,8882,1107,743,7032,275,65,23,187,12.46340914,8.365233056,79.1713578,72099,56974,48092,4271,4433,19648,209040,,,,,,,,,,,,1970/01/01 00:00:00+00,57
30,2020/03/31 00:00:00+00,1528,81,136,1311,114,6,14,94,5.30104712,8.90052356,85.79842932,,6777,5249,,114,,,,,,,,,,,,,,1970/01/01 00:00:00+00,58
57,2020/04/27 00:00:00+00,9096,1151,765,7180,214,44,22,148,12.65391381,8.410290237,78.93579595,75157,59409,50313,3058,2435,19987,210199,,,,,,,,,,,,1970/01/01 00:00:00+00,59
31,2020/04/01 00:00:00+00,1677,103,157,1417,149,22,21,106,6.141920095,9.361955874,84.49612403,,7193,5516,,416,,,,,,,,,,,,,,1970/01/01 00:00:00+00,60
